,Unit,Group.Name.Partner,Date.and.Time,Borough,LocationType,Location,Event.Name,Event.Type,Category,Classification,Audience,Attendance,pmam,time,lon,lat
293,Urban Park Rangers,General Public,07/18/2020 11:30:00 AM,Brooklyn,Park,Herbert Von King Park,Chalk Draw and Mask Giveaway,Community Based Event,Nature,Summer 2020,General Public,10,AM,2020-07-18 11:30:00,-73.946732,40.689612
294,Urban Park Rangers,General Public,07/18/2020 12:00:00 PM,Staten Island,Playground,Jennifer's Playground,Nature Sketching,Community Based Event,Nature,Summer 2020,General Public,7,PM,2020-07-19 00:00:00,-74.16306469999999,40.620056
295,Urban Park Rangers,General Public,07/18/2020 02:00:00 PM,Manhattan,Park,St. Nicholas Park,inHarlem- Park Reflections,Community Based Event,Arts/Culture,Summer 2020,General Public,6,PM,2020-07-18 14:00:00,-73.94874759999999,40.8174689
296,Urban Park Rangers,General public,07/18/2020 02:30:00 PM,Brooklyn,Park,Irving Square Park,Nature Chalk Art,Community Based Event,Nature,Summer 2020,General Public,14,PM,2020-07-18 14:30:00,-73.909092,40.6926312
297,Urban Park Rangers,General Public,07/18/2020 02:40:00 PM,Bronx,Park,Clason Point Park,Casting Lessons,Agency Produced Event,Nature,Summer 2020,General Public,5,PM,2020-07-18 14:40:00,-73.84815859999999,40.8055473
298,Urban Park Rangers,General Public,07/18/2020 02:45:00 PM,Brooklyn,Park,Irving Square Park,Chalk Draw and Mask Giveaway,Community Based Event,Nature,Summer 2020,General Public,15,PM,2020-07-18 14:45:00,-73.909092,40.6926312
299,Recreation,shapeup nyc,07/18/2020 09:11:00 PM,Queens,Other,beach 17 st far rockway,ultimate cardio,Community Based Event,Fitness,Summer 2020,Adults,5,PM,2020-07-18 21:11:00,-73.7512371,40.5962916
300,Recreation,Ocean Breeze Recreation Staff,07/19/2020 08:30:00 AM,Staten Island,Park,Ocean Breeze Park,Open Patio Area,Open House,Family Festival,Summer 2020,General Public,1,AM,2020-07-19 08:30:00,,
301,Recreation,,07/19/2020 09:00:00 AM,Bronx,Park,St. Mary's Recreation Center,skills & drills,Community Based Event,Sport,Summer 2020,Young Adult;#Teens,9,AM,2020-07-19 09:00:00,-73.91410669999999,40.8114492
302,Public Programs,,07/19/2020 10:00:00 AM,Staten Island,Park,Ocean Breeze Park,Ocean Breeze Beach Soccer & Food Truck Festival,Community Based Event,Sport,,Young Adult;#Children;#Adults;#Teens;#Adaptive;#General Public,0,AM,2020-07-19 10:00:00,,
303,Urban Park Rangers,General Public,07/19/2020 10:00:00 AM,Brooklyn,Park,Paerdegat Park,Chalk Drawing,Community Based Event,Nature,Summer 2020,Children;#Adults,4,AM,2020-07-19 10:00:00,-73.938164,40.6379063
304,Urban Park Rangers,General Public,07/19/2020 11:00:00 AM,Manhattan,Park,St. Nicholas Park,Manhattan Geological Spine,Community Based Event,Nature,Summer 2020,General Public,0,AM,2020-07-19 11:00:00,-73.94874759999999,40.8174689
305,Urban Park Rangers,General Public,07/19/2020 11:52:00 AM,Queens,Park,Forest Park,Nature Art and Appreciation,Community Based Event,Nature,Summer 2020,General Public,12,AM,2020-07-19 11:52:00,,
306,Urban Park Rangers,General Public,07/19/2020 12:35:00 PM,Staten Island,Park,Clove Lakes Park,Plant and grow!,Community Based Event,Nature,Summer 2020,General Public,11,PM,2020-07-20 00:35:00,-74.11163979999999,40.6186608
307,Recreation,,07/19/2020 01:30:00 PM,Bronx,Recreation Center,St. Mary's Recreation Center,step it up,Community Based Event,Fitness,Summer 2020,Children,4,PM,2020-07-19 13:30:00,-73.91410669999999,40.8114492
308,Urban Park Rangers,General Public,07/19/2020 02:15:00 PM,Bronx,Playground,Fort Independence Playground,Nature Sketching,Agency Produced Event,Nature,Summer 2020,General Public,2,PM,2020-07-19 14:15:00,-73.8958869,40.8815687
309,Urban Park Rangers,General Public,07/19/2020 03:05:00 PM,Staten Island,Playground,The Big Park,Plant and grow!,Community Based Event,Nature,Summer 2020,General Public,8,PM,2020-07-19 15:05:00,-74.1643758,40.6307662
310,Urban Park Rangers,General Public,07/19/2020 03:15:00 PM,Manhattan,Park,Morningside Park,Morningside Pond Pop-up,Community Based Event,Nature,Summer 2020,General Public,21,PM,2020-07-19 15:15:00,-73.9585391,40.8060712
311,Urban Park Rangers,General Public,07/19/2020 03:27:00 PM,Queens,Park,Bayswater Park,Nature Art,Community Based Event,Nature,Summer 2020,General Public,8,PM,2020-07-19 15:27:00,-73.7691138,40.599056
312,Urban Park Rangers,General Public,07/20/2020 12:00:00 AM,Brooklyn,Park,Marine Park,Photo Scavenger Hunt: Wildflowers and Butterflies,Community Based Event,Nature,Summer 2020,General Public,12,AM,2020-07-20 12:00:00,-73.93318649999999,40.6113817
313,Recreation,Darryl Algood,07/20/2020 12:00:00 AM,Brooklyn,Playground,Century Playground,,Local Event,Mobile Unit,Summer 2020,Tot;#Children;#Teens,12,AM,2020-07-20 12:00:00,-73.970045,40.57703619999999
314,Recreation,,07/20/2020 12:00:00 AM,Bronx,Park,St. Mary's Recreation Center,skills & drills,Community Based Event,Sport,Summer 2020,Children;#Teens,0,AM,2020-07-20 12:00:00,-73.91410669999999,40.8114492
315,Recreation,Carol Landes,07/20/2020 08:00:00 AM,Staten Island,Playground,Jennifer's Playground,Stronger Than Ever,Open House,Fitness,Summer 2020,Seniors,12,AM,2020-07-20 08:00:00,-74.16306469999999,40.620056
316,Recreation,Ocean Breeze Recreation Staff,07/20/2020 08:30:00 AM,Staten Island,Park,Ocean Breeze Park,Inspiration Motivation,Open House,Fitness,Summer 2020,General Public,6,AM,2020-07-20 08:30:00,,
317,Recreation,Ocean Breeze Recreation Staff,07/20/2020 08:30:00 AM,Staten Island,Park,Ocean Breeze Park,Open Patio Area,Open House,Family Festival,Summer 2020,General Public,4,AM,2020-07-20 08:30:00,,
318,Recreation,Mauricio Cortez,07/20/2020 09:00:00 AM,Brooklyn,Playground,Maria Hernandez,Youth Summer Pop Up Recreation,Local Event,Sport,Summer 2020,Tot;#Children,10,AM,2020-07-20 09:00:00,-73.9238611,40.70312819999999
319,Recreation,Darryl Algood,07/20/2020 09:00:00 AM,Brooklyn,Playground,West Playground,,Local Event,Mobile Unit,Summer 2020,Tot;#Children;#Teens,10,AM,2020-07-20 09:00:00,,
320,Recreation,,07/20/2020 09:00:00 AM,Bronx,Park,St. Mary's Park,Cardio + Strength,Community Based Event,Fitness,,Children;#Teens,8,AM,2020-07-20 09:00:00,-73.9120243,40.8117387
321,Recreation,Ocean Breeze Recreaion Staff,07/20/2020 09:45:00 AM,Staten Island,Park,Ocean Breeze Park,Step & Fit,Open House,Fitness,Summer 2020,General Public,4,AM,2020-07-20 09:45:00,,
322,Recreation,Keshia Young,07/20/2020 10:00:00 AM,Bronx,Recreation Center,Hunts Point Recreation Center,Hula Hoop,Community Based Event,Fitness,Summer 2020,Children,10,AM,2020-07-20 10:00:00,-73.88909149999999,40.8149605
323,Recreation,Essence McKinney,07/20/2020 10:00:00 AM,Bronx,Recreation Center,Hunts Point Recreation Center,Tots Read Aloud,Community Based Event,Academic/Out of School time,Summer 2020,Tot,10,AM,2020-07-20 10:00:00,-73.88909149999999,40.8149605
324,Recreation,"Sarah Bishow, Julie Jorge and GiGi",07/20/2020 10:00:00 AM,Bronx,Park,Williamsbridge Oval Park,Chair Arobics,Community Based Event,Fitness,Summer 2020,Young Adult;#Adults;#Teens;#Adaptive;#Seniors,7,AM,2020-07-20 10:00:00,-73.8763876,40.8776269
325,Recreation,Jonathan Adone,07/20/2020 10:00:00 AM,Brooklyn,Park,Leif Ericson Park,Pick Up Pickle Ball,Local Event,Fitness,Summer 2020,Seniors,17,AM,2020-07-20 10:00:00,-74.0229794,40.6372953
326,Recreation,Andrea Williams,07/20/2020 10:00:00 AM,Brooklyn,Playground,Hilltop Playground,Mobile Recreation,Community Based Event,Sport,Summer 2020,Children;#Teens;#General Public,5,AM,2020-07-20 10:00:00,-73.91427929999999,40.675355
327,Urban Park Rangers,General Public,07/20/2020 10:10:00 AM,Bronx,Park,Mullaly Park,Nature Sketching,Agency Produced Event,Nature,Summer 2020,General Public,0,AM,2020-07-20 10:10:00,,
328,Urban Park Rangers,General Public,07/20/2020 10:20:00 AM,Bronx,Playground,Nelson Playground,Nature Sketching,Agency Produced Event,Nature,Summer 2020,General Public,0,AM,2020-07-20 10:20:00,-75.138222,39.9889813
329,Recreation,Keshia Young,07/20/2020 11:00:00 AM,Bronx,Playground,Hunts Point Recreation Center,Move to Fit,Community Based Event,Fitness,Summer 2020,Children,10,AM,2020-07-20 11:00:00,-73.88909149999999,40.8149605
330,Recreation,Hunts Point Staff,07/20/2020 11:00:00 AM,Bronx,Park,Hunts Point Recreation Center,Soccer Skills,Community Based Event,Sport,Summer 2020,Children;#Teens,10,AM,2020-07-20 11:00:00,-73.88909149999999,40.8149605
331,Recreation,,07/20/2020 11:00:00 AM,Bronx,Park,Bronx Park,Kids and Play,Local Event,Sport,Tier 2,Children;#Adaptive,10,AM,2020-07-20 11:00:00,-73.87582050000002,40.856642
332,Recreation,St James,07/20/2020 11:00:00 AM,Bronx,Park,St. James Park,A Walk In The Park,Open House,Fitness,Fitness,Adults,2,AM,2020-07-20 11:00:00,,
333,Recreation,Jeslyn Galarza,07/20/2020 11:00:00 AM,Bronx,Playground,St. Mary's Park,Trap and Spin,Open House,Fitness,Fitness,Young Adult;#Adults,0,AM,2020-07-20 11:00:00,-73.9120243,40.8117387
334,Recreation,Ivan Velez,07/20/2020 11:00:00 AM,Bronx,Park,Poe Park,Comic culture,Local Event,Arts/Culture,Summer 2020,Tot;#Children;#Teens,1,AM,2020-07-20 11:00:00,-73.8945473,40.8648137
335,Recreation,,07/20/2020 11:00:00 AM,Queens,Playground,Bayswater Park,Kids in Motion,Community Based Event,KIM,Summer 2020,Tot;#Children;#General Public;#Teens,10,AM,2020-07-20 11:00:00,-73.7691138,40.599056
336,Recreation,,07/20/2020 11:00:00 AM,Queens,Playground,Hoover - Manton Playgrounds,Kids in Motion,Community Based Event,KIM,Summer 2020,General Public;#Teens;#Children;#Tot,35,AM,2020-07-20 11:00:00,-73.8216889,40.7120075
337,Recreation,,07/20/2020 11:00:00 AM,Queens,Park,Detective Keith L Williams Park,Kids in Motion,Community Based Event,KIM,Summer 2020,Tot;#Teens;#Children;#General Public,30,AM,2020-07-20 11:00:00,-73.7844531,40.7028871
338,Recreation,jeslyn galarza,07/20/2020 11:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,spin,Community Based Event,Fitness,Summer 2020,Adults;#Young Adult;#Seniors;#Teens,0,AM,2020-07-20 11:00:00,-73.91410669999999,40.8114492
339,Recreation,,07/20/2020 11:00:00 AM,Bronx,Park,St. Mary's Park,Skills and Drills,Community Based Event,Sport,,Children;#Teens,8,AM,2020-07-20 11:00:00,-73.9120243,40.8117387
340,Urban Park Rangers,General Public,07/20/2020 11:30:00 AM,Manhattan,Park,Tompkins Square Park,Hawk Watch,Community Based Event,Nature,Summer 2020,General Public,9,AM,2020-07-20 11:30:00,-73.9817841,40.72642949999999
341,Recreation,Ocean Breeze Recreation,07/20/2020 12:00:00 PM,Staten Island,Park,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Street Hockey,Open House,Sport,Summer 2020,General Public,0,PM,2020-07-21 00:00:00,,
342,Recreation,Essence McKinney,07/20/2020 12:00:00 PM,Bronx,Playground,Hunts Point Recreation Center,Jumping for Fitness,Community Based Event,Fitness,Summer 2020,Tot;#Children,10,PM,2020-07-21 00:00:00,-73.88909149999999,40.8149605
343,Recreation,Hunts Point Staff,07/20/2020 12:00:00 PM,Bronx,Park,Hunts Point Recreation Center,Calisthenics,Community Based Event,Fitness,Summer 2020,Children;#Teens,10,PM,2020-07-21 00:00:00,-73.88909149999999,40.8149605
344,Recreation,Mauricio Cortez,07/20/2020 12:00:00 PM,Brooklyn,Playground,Potomac Playground,Youth Summer Pop Up Recreation,Local Event,Sport,Summer 2020,Tot;#Children,7,PM,2020-07-21 00:00:00,-73.9442378,40.6820334
345,Recreation,Andrea Williams,07/20/2020 12:00:00 PM,Brooklyn,Playground,Cypress Hills Playground,Mobile Recreation,Community Based Event,Sport,Summer 2020,Children;#Teens;#General Public,4,PM,2020-07-21 00:00:00,-73.87180649999999,40.6707541
346,Recreation,Hunts Point Staff,07/20/2020 01:00:00 PM,Bronx,Playground,Hunts Point Recreation Center,Obstacle Course,Community Based Event,Fitness,Summer 2020,Children;#Teens,10,PM,2020-07-20 13:00:00,-73.88909149999999,40.8149605
347,Recreation,Ocean Breeze Recreation Staff,07/20/2020 02:00:00 PM,Staten Island,Park,Ocean Breeze Park,Side Walk Games,Open House,Family Festival,Summer 2020,General Public,0,PM,2020-07-20 14:00:00,,
348,Recreation,Keshia Young,07/20/2020 02:00:00 PM,Bronx,Playground,Hunts Point Recreation Center,Creative Arts,Community Based Event,Arts/Culture,Summer 2020,Children;#Teens,10,PM,2020-07-20 14:00:00,-73.88909149999999,40.8149605
349,Recreation,Jonathan Adone,07/20/2020 02:00:00 PM,Brooklyn,Park,McKinley Park,TABATA Training,Local Event,Fitness,Summer 2020,Children,3,PM,2020-07-20 14:00:00,,
350,Urban Park Rangers,General Public,07/20/2020 02:30:00 PM,Queens,Park,Elmhurst Park,Cool Critters,Community Based Event,Nature,Summer 2020,General Public,11,PM,2020-07-20 14:30:00,-73.88509130000001,40.7298841
351,Recreation,Hunts Point Staff,07/20/2020 03:00:00 PM,Bronx,Playground,Hunts Point Recreation Center,Golf Fun,Community Based Event,Sport,Summer 2020,Children;#Teens,10,PM,2020-07-20 15:00:00,-73.88909149999999,40.8149605
352,Recreation,Ingrid Tafe,07/20/2020 03:00:00 PM,Bronx,Park,Williamsbridge Oval Park,Youth meets,Community Based Event,Arts/Culture,Summer 2020,Tot;#Children;#Teens,20,PM,2020-07-20 15:00:00,-73.8763876,40.8776269
353,Urban Park Rangers,General Public,07/20/2020 03:45:00 PM,Bronx,Playground,Cedar Playground,Nature Sketching,Agency Produced Event,Nature,Summer 2020,General Public,0,PM,2020-07-20 15:45:00,,
354,Urban Park Rangers,General Public,07/20/2020 04:00:00 PM,Brooklyn,Park,Saratoga Park,Hawk Talk,Community Based Event,Nature,Summer 2020,General Public,6,PM,2020-07-20 16:00:00,,
355,Urban Park Rangers,General Public,07/20/2020 04:04:00 PM,Staten Island,Playground,McDonald Playground,Plant and grow!,Community Based Event,Nature,Summer 2020,General Public,15,PM,2020-07-20 16:04:00,-73.9720469,40.6005842
356,Urban Park Rangers,General Public,07/20/2020 06:00:00 PM,Brooklyn,Park,Marine Park,Ask a Ranger: Wildlife Sightings,Community Based Event,Nature,Summer 2020,General Public,3,PM,2020-07-20 18:00:00,-73.93318649999999,40.6113817
357,Recreation,Hunts Point Staff,07/21/2020 12:00:00 AM,Bronx,Playground,Hunts Point Recreation Center,S.T.E.M.,Community Based Event,Nature,Summer 2020,Children;#Teens,10,AM,2020-07-21 12:00:00,-73.88909149999999,40.8149605
358,Recreation,Jonathan Adone,07/21/2020 12:00:00 AM,Brooklyn,Park,McKinley Park,Rhythem & Weights,Local Event,Fitness,Summer 2020,Children,4,AM,2020-07-21 12:00:00,,
359,Recreation,Mauricio Cortez,07/21/2020 12:00:00 AM,Brooklyn,Playground,Star Spangled Playground,Youth Summer Pop Up Recreation,Local Event,Sport,Summer 2020,Tot;#Young Adult;#Children,7,AM,2020-07-21 12:00:00,-73.9579416,40.6921253
360,Recreation,Oscar  Chavez,07/21/2020 12:00:00 AM,Bronx,Park,Williamsbridge Oval Park,Pickle Ball,Community Based Event,Sport,Summer 2020,Children;#Young Adult,7,AM,2020-07-21 12:00:00,-73.8763876,40.8776269
361,Recreation,,07/21/2020 12:00:00 AM,Bronx,Park,St. Mary's Park,Skills and Drills,Community Based Event,Sport,Tier 1,Children;#Teens,11,AM,2020-07-21 12:00:00,-73.9120243,40.8117387
362,Recreation,,07/21/2020 12:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,step it up,Community Based Event,Sport,Summer 2020,Children,0,AM,2020-07-21 12:00:00,-73.91410669999999,40.8114492
363,Recreation,Darryl Algood,07/21/2020 01:00:00 AM,Brooklyn,Playground,100% Playground,,Local Event,Mobile Unit,Summer 2020,Tot;#Teens;#Children,25,AM,2020-07-21 01:00:00,-73.8990554,40.6465901
364,Recreation,Jeslyn Galarza,07/21/2020 03:00:00 AM,Bronx,Playground,St. Mary's,Hip Hop and Jazz,Open House,Arts/Culture,Dance,Children;#Teens,7,AM,2020-07-21 03:00:00,,
365,Recreation,,07/21/2020 07:15:00 AM,Bronx,Recreation Center,St. James Recreation Center,Spin for Life,Community Based Event,Fitness,Summer 2020,General Public;#Adults;#Seniors;#Young Adult,20,AM,2020-07-21 07:15:00,-73.8988889,40.8644444
366,Recreation,Ocean Breeze Receration Staff,07/21/2020 08:30:00 AM,Staten Island,Park,Ocean Breeze Park,Open Patio Area,Open House,Family Festival,Summer 2020,General Public,3,AM,2020-07-21 08:30:00,,
367,Recreation,Mauricio Cortez,07/21/2020 09:00:00 AM,Brooklyn,Playground,Heckscher Playground,Youth Summer Pop Up Recreation,Local Event,Sport,Summer 2020,Tot;#Children;#Young Adult,5,AM,2020-07-21 09:00:00,-73.9772285,40.7684641
368,Recreation,Darryl Algood,07/21/2020 09:00:00 AM,Brooklyn,Playground,Fox Playground,,Local Event,Mobile Unit,Summer 2020,Tot;#Children;#Teens,7,AM,2020-07-21 09:00:00,-73.9240414,40.6325221
369,Recreation,,07/21/2020 09:00:00 AM,Bronx,Park,St. Mary's Park,Cardio + Strength,Community Based Event,Fitness,Fitness,Children;#Teens,11,AM,2020-07-21 09:00:00,-73.9120243,40.8117387
370,Recreation,Andrea Williams,07/21/2020 09:30:00 AM,Brooklyn,Playground,Linden Park,Mobile Recreation,Community Based Event,Sport,Summer 2020,Children;#Teens;#General Public,14,AM,2020-07-21 09:30:00,-73.8871125,40.6589543
371,Recreation,Carl Antoine,07/21/2020 10:00:00 AM,Bronx,Park,Williamsbridge Oval Park,Pickle Ball,Community Based Event,Sport,Summer 2020,Seniors,4,AM,2020-07-21 10:00:00,-73.8763876,40.8776269
372,Recreation,Bridgett,07/21/2020 10:00:00 AM,Bronx,Park,Williamsbridge Oval Park,Family Fun,Community Based Event,Family Festival,Summer 2020,Tot;#Children,2,AM,2020-07-21 10:00:00,-73.8763876,40.8776269
373,Recreation,Deirdra Lacy,07/21/2020 10:00:00 AM,Brooklyn,Park,St. John's Park,Summer 2020 Outdoor Program,Local Event,Fitness,Summer 2020,Adults;#Seniors;#General Public,10,AM,2020-07-21 10:00:00,-73.9350389,40.6742179
374,Recreation,Tracy Boyland,07/21/2020 10:00:00 AM,Brooklyn,Park,Coffey Park,Youth Summer Pop Up Recreation,Local Event,Arts/Culture,Summer 2020,Tot;#Children,12,AM,2020-07-21 10:00:00,-74.008479,40.6776243
375,Urban Park Rangers,General Public,07/21/2020 10:15:00 AM,Bronx,Park,Crotona Park,Roaming Walking Stick Meet & Greet,Agency Produced Event,Nature,Summer 2020,General Public,6,AM,2020-07-21 10:15:00,-73.8951228,40.8384993
376,Urban Park Rangers,General Public,07/21/2020 10:30:00 AM,Brooklyn,Park,Saratoga Park,Photo Scavenger Hunt: Leaves and Seeds,Community Based Event,Nature,Summer 2020,General Public,14,AM,2020-07-21 10:30:00,,
377,Recreation,,07/21/2020 10:30:00 AM,Bronx,Park,Claremont Park,Basketball Skills / Obstacle Course,Agency Produced Event,Sport,Summer 2020,Children;#Young Adult;#Teens,3,AM,2020-07-21 10:30:00,-73.9075506,40.8409
378,Recreation,Yadiel Arce,07/21/2020 10:30:00 AM,Manhattan,Playground,St. Nicholas Playground North,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,Tot;#Children;#Teens,8,AM,2020-07-21 10:30:00,,
379,Recreation,Leo Saito,07/21/2020 10:30:00 AM,Manhattan,Park,Marcus Garvey Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,Tot;#Children;#Teens,4,AM,2020-07-21 10:30:00,-73.9437629,40.8044257
380,Recreation,,07/21/2020 10:30:00 AM,Bronx,Playground,Tremont Park,,Community Based Event,Arts/Culture,Summer 2020,Tot;#Children,2,AM,2020-07-21 10:30:00,,
381,Recreation,Guy Ruffin & Daniel Colonna,07/21/2020 10:30:00 AM,Manhattan,Park,Thomas Jefferson Park,SSE Outdoor Programming,Community Based Event,Sport,Summer 2020,Tot;#Children;#Teens,2,AM,2020-07-21 10:30:00,-73.9352341,40.7933578
382,Recreation,"Grace Bempong, Veshnu Moorleedhar, Malcolm Pinckney",07/21/2020 10:30:00 AM,Bronx,Playground,Playground for All Children,"Arts, Culture, and Fun Mobile Unit",Community Based Event,Arts/Culture,AC&F,Children;#Tot;#Teens,22,AM,2020-07-21 10:30:00,-73.8489647,40.7413416
383,Recreation,Giovanni Feliciano,07/21/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,Tot;#Children;#Teens,5,AM,2020-07-21 10:30:00,-73.9257492,40.8537599
384,Recreation,Ricardo Sanchez,07/21/2020 10:30:00 AM,Manhattan,Park,Columbus Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,Tot;#Children;#Teens,0,AM,2020-07-21 10:30:00,-74.0000483,40.7155353
385,Recreation,Jeeslyn Galarza,07/21/2020 11:00:00 AM,Bronx,Playground,St. Mary's Park,Trap and Spin,Open House,Fitness,Fitness,Young Adult;#Adults,0,AM,2020-07-21 11:00:00,-73.9120243,40.8117387
386,Recreation,Shanel Burgess,07/21/2020 11:00:00 AM,Bronx,Park,Poe Park,Arts in the Park; Paper scroll Wreath,Local Event,Arts/Culture,Summer 2020,Tot;#Children;#Teens,8,AM,2020-07-21 11:00:00,-73.8945473,40.8648137
387,Urban Park Rangers,General Public,07/21/2020 11:00:00 AM,Bronx,Park,Tremont Park,Roaming Walking Stick Meet & Greet,Agency Produced Event,Nature,Summer 2020,General Public,12,AM,2020-07-21 11:00:00,,
388,Recreation,Elijah Voyd,07/21/2020 11:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,Toddler Adventures,Community Based Event,Arts/Culture,Summer 2020,Tot,0,AM,2020-07-21 11:00:00,-73.91410669999999,40.8114492
389,Recreation,,07/21/2020 11:00:00 AM,Staten Island,Playground,De Matti Playground,Walk-a-thon,Community Based Event,Fitness,Summer 2020,Children,0,AM,2020-07-21 11:00:00,-74.07425649999999,40.6145077
390,Recreation,,07/21/2020 11:00:00 AM,Queens,Park,Queensbridge Park,Kids in Motion,Community Based Event,KIM,Summer 2020,Tot;#Children;#Teens;#General Public,25,AM,2020-07-21 11:00:00,-73.9486111,40.7566667
391,Recreation,,07/21/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Kids in Motion,Community Based Event,KIM,Summer 2020,Tot;#Children;#Teens;#General Public,5,AM,2020-07-21 11:00:00,-73.7512371,40.5962916
392,Recreation,Jeslyn Galarza,07/21/2020 11:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,Spin,Community Based Event,Fitness,Summer 2020,Young Adult;#Adults;#Teens;#Seniors,0,AM,2020-07-21 11:00:00,-73.91410669999999,40.8114492
393,Recreation,,07/21/2020 11:00:00 AM,Queens,Playground,Nautilus Playground,Kids in Motion,Community Based Event,KIM,Summer 2020,Tot;#Children;#General Public,0,AM,2020-07-21 11:00:00,-73.996192,40.5715845
394,Recreation,,07/21/2020 11:00:00 AM,Queens,Playground,Corona Golf Playground,Kids in Motion,Community Based Event,KIM,Summer 2020,Tot;#Children;#General Public,42,AM,2020-07-21 11:00:00,-73.8549547,40.7474938
395,Recreation,,07/21/2020 11:00:00 AM,Queens,Park,Beach 17th Street,Kids in Motion,Community Based Event,KIM,Summer 2020,Children;#Tot;#General Public,0,AM,2020-07-21 11:00:00,-73.7512371,40.5962916
396,Urban Park Rangers,General Public,07/21/2020 11:20:00 AM,Bronx,Park,Tremont Park,Roaming Walking Stick Meet & Greet,Agency Produced Event,Nature,Summer 2020,General Public,13,AM,2020-07-21 11:20:00,,
397,Recreation,Ocean Breeze Recreation Staff,07/21/2020 12:00:00 PM,Staten Island,Park,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Balance & Stability Games,Open House,Sport,Summer 2020,General Public,0,PM,2020-07-22 00:00:00,,
398,Recreation,Tasha Valentino,07/21/2020 12:00:00 PM,Bronx,Park,Soundview Park,Mindful Play,Agency Produced Event,Fitness,Summer 2020,Children,1,PM,2020-07-22 00:00:00,-73.8750973,40.8171726
399,Media Education,,07/21/2020 12:00:00 PM,Brooklyn,Park,Betsy Head Park,Open Mic (COVID Confessions),Local Event,Arts/Culture,,General Public,2,PM,2020-07-22 00:00:00,-73.91341080000001,40.6624365
400,Recreation,St James,07/21/2020 01:00:00 PM,Bronx,Park,St. James Park,Creative Arts,Community Based Event,Arts/Culture,Play,Children,4,PM,2020-07-21 13:00:00,,
401,Recreation,,07/21/2020 01:00:00 PM,Staten Island,Playground,De Matti Playground,Arts and Crafts,Community Based Event,Arts/Culture,Summer 2020,Children,9,PM,2020-07-21 13:00:00,-74.07425649999999,40.6145077
402,Recreation,Hunts Point Staff,07/21/2020 02:00:00 PM,Bronx,Park,Hunts Point Recreation Center,Dodgeball,Community Based Event,Sport,Summer 2020,Children;#Teens,10,PM,2020-07-21 14:00:00,-73.88909149999999,40.8149605
403,Recreation,Hunts Point Staff,07/21/2020 02:00:00 PM,Bronx,Park,Hunts Point Recreation Center,Cardio Fitness,Community Based Event,Fitness,Summer 2020,Teens;#Children,10,PM,2020-07-21 14:00:00,-73.88909149999999,40.8149605
404,Recreation,Ocean Breeze Recreation Staff,07/21/2020 02:00:00 PM,Staten Island,Park,Ocean Breeze Park,Side Walk Games,Open House,Family Festival,Summer 2020,General Public,0,PM,2020-07-21 14:00:00,,
405,Recreation,Shanel Burgess,07/21/2020 02:00:00 PM,Bronx,Park,Poe Park,Art in the Park: Paper Scroll Wreath,Local Event,Arts/Culture,Summer 2020,Tot;#Children;#Teens,4,PM,2020-07-21 14:00:00,-73.8945473,40.8648137
406,Recreation,,07/21/2020 02:00:00 PM,Bronx,Recreation Center,St. Mary's Recreation Center,Paint With Me,Community Based Event,Arts/Culture,Summer 2020,Children,0,PM,2020-07-21 14:00:00,-73.91410669999999,40.8114492
407,Recreation,Jonathan Adone,07/21/2020 02:00:00 PM,Brooklyn,Park,McKinley Park,Soccer Skills,Local Event,Fitness,Summer 2020,Children,5,PM,2020-07-21 14:00:00,,
408,Recreation,,07/21/2020 02:00:00 PM,Bronx,Playground,Slattery Playground,,Community Based Event,Sport,Summer 2020,Children;#Teens,9,PM,2020-07-21 14:00:00,-73.8983506,40.8573447
409,Media Education,,07/21/2020 02:00:00 PM,Brooklyn,Park,Betsy Head Park,Green Screen Photo Booth,Local Event,Arts/Culture,,General Public,4,PM,2020-07-21 14:00:00,-73.91341080000001,40.6624365
410,Urban Park Rangers,General Public,07/21/2020 02:30:00 PM,Bronx,Park,Mullaly Park,Roaming Walking Stick Meet & Greet,Agency Produced Event,Nature,Summer 2020,General Public,15,PM,2020-07-21 14:30:00,,
411,Recreation,,07/21/2020 02:30:00 PM,Bronx,Park,Haffen Park,Soccer Skills / Obstacle Course,Agency Produced Event,Sport,Summer 2020,Children;#Young Adult;#Teens,0,PM,2020-07-21 14:30:00,-73.8391073,40.8736837
412,Urban Park Rangers,General Public,07/21/2020 02:45:00 PM,Queens,Park,Astoria Park,Hawk Adventures,Community Based Event,Nature,Summer 2020,General Public,6,PM,2020-07-21 14:45:00,-73.92283359999999,40.7785364
